State,County,County_FIPSCode,OpioidDispenseRateper100,Year
AL,Autauga County,1001,101.3,2019
AL,Baldwin County,1003,67.6,2019
AL,Barbour County,1005,27.2,2019
AL,Bibb County,1007,21,2019
AL,Blount County,1009,23.7,2019
AL,Bullock County,1011,24.7,2019
AL,Butler County,1013,40.6,2019
AL,Calhoun County,1015,106.3,2019
AL,Chambers County,1017,58,2019
AL,Cherokee County,1019,46.5,2019
AL,Chilton County,1021,41.2,2019
AL,Choctaw County,1023,37.5,2019
AL,Clarke County,1025,66.3,2019
AL,Clay County,1027,84.5,2019
AL,Cleburne County,1029,14.5,2019
AL,Coffee County,1031,79.8,2019
AL,Colbert County,1033,156.9,2019
AL,Conecuh County,1035,110.5,2019
AL,Coosa County,1037,0,2019
AL,Covington County,1039,94.2,2019
AL,Crenshaw County,1041,33.1,2019
AL,Cullman County,1043,87.1,2019
AL,Dale County,1045,34,2019
AL,Dallas County,1047,65,2019
AL,DeKalb County,1049,62.6,2019
AL,Elmore County,1051,28.1,2019
AL,Escambia County,1053,76.6,2019
AL,Etowah County,1055,102.8,2019
AL,Fayette County,1057,48.5,2019
AL,Franklin County,1059,92.3,2019
AL,Geneva County,1061,15.1,2019
AL,Greene County,1063,25.2,2019
AL,Hale County,1065,22.2,2019
AL,Henry County,1067,52.3,2019
AL,Houston County,1069,146.1,2019
AL,Jackson County,1071,82.3,2019
AL,Jefferson County,1073,143.5,2019
AL,Lamar County,1075,13.8,2019
AL,Lauderdale County,1077,58.5,2019
AL,Lawrence County,1079,30.4,2019
AL,Lee County,1081,39.5,2019
AL,Limestone County,1083,33.1,2019
AL,Lowndes County,1085,9.2,2019
AL,Macon County,1087,10.6,2019
AL,Madison County,1089,97.8,2019
AL,Marengo County,1091,72.3,2019
AL,Marion County,1093,108.7,2019
AL,Marshall County,1095,97.2,2019
AL,Mobile County,1097,108.4,2019
AL,Monroe County,1099,48.9,2019
AL,Montgomery County,1101,93.2,2019
AL,Morgan County,1103,69.2,2019
AL,Perry County,1105,15.3,2019
AL,Pickens County,1107,33.6,2019
AL,Pike County,1109,36.6,2019
AL,Randolph County,1111,56.1,2019
AL,Russell County,1113,34.6,2019
AL,St. Clair County,1115,61.9,2019
AL,Shelby County,1117,76.9,2019
AL,Sumter County,1119,38,2019
AL,Talladega County,1121,41.3,2019
AL,Tallapoosa County,1123,47,2019
AL,Tuscaloosa County,1125,96.5,2019
AL,Walker County,1127,132.7,2019
AL,Washington County,1129,28.1,2019
AL,Wilcox County,1131,26.5,2019
AL,Winston County,1133,66.8,2019
AK,Aleutians East Borough,2013,10.6,2019
AK,Aleutians West Census Area,2016,2.5,2019
AK,Anchorage Municipality,2020,56,2019
AK,Bethel Census Area,2050,6.9,2019
AK,Bristol Bay Borough,2060,4.1,2019
AK,Denali Borough,2068,8.3,2019
AK,Dillingham Census Area,2070,4.9,2019
AK,Fairbanks North Star Borough,2090,29.5,2019
AK,Haines Borough,2100,1.2,2019
AK,Hoonah-Angoon Census Area,2105,5.3,2019
AK,Juneau City and Borough,2110,36.2,2019
AK,Kenai Peninsula Borough,2122,53,2019
AK,Ketchikan Gateway Borough,2130,50.4,2019
AK,Kodiak Island Borough,2150,18.3,2019
AK,Lake and Peninsula Borough,2164,0.3,2019
AK,Matanuska-Susitna Borough,2170,30.7,2019
AK,Nome Census Area,2180,2.2,2019
AK,North Slope Borough,2185,3.1,2019
AK,Northwest Arctic Borough,2188,2.7,2019
AK,Petersburg Borough,2195,68.8,2019
AK,Prince of Wales-Hyder Census Area,2198,23,2019
AK,Sitka City and Borough,2220,16.6,2019
AK,Skagway Municipality,2230,5.2,2019
AK,Southeast Fairbanks Census Area,2240,12.7,2019
AK,Valdez-Cordova Census Area,2261,18,2019
AK,Wrangell City and Borough,2275,6.7,2019
AK,Yakutat City and Borough,2282,5.3,2019
AK,Yukon-Koyukuk Census Area,2290,1.2,2019
AZ,Apache County,4001,7.3,2019
AZ,Cochise County,4003,37.9,2019
AZ,Coconino County,4005,34.9,2019
AZ,Gila County,4007,46.4,2019
AZ,Graham County,4009,44,2019
AZ,Greenlee County,4011,2.5,2019
AZ,La Paz County,4012,18.7,2019
AZ,Maricopa County,4013,46.5,2019
AZ,Mohave County,4015,70.6,2019
AZ,Navajo County,4017,47.1,2019
AZ,Pima County,4019,52.3,2019
AZ,Pinal County,4021,11.5,2019
AZ,Santa Cruz County,4023,8.4,2019
AZ,Yavapai County,4025,49.4,2019
AZ,Yuma County,4027,24.6,2019
AR,Arkansas County,5001,74.7,2019
AR,Ashley County,5003,28.3,2019
AR,Baxter County,5005,126.7,2019
AR,Benton County,5007,44.3,2019
AR,Boone County,5009,73.9,2019
AR,Bradley County,5011,80.7,2019
AR,Calhoun County,5013,16.2,2019
AR,Carroll County,5015,37.2,2019
AR,Chicot County,5017,93.4,2019
AR,Clark County,5019,56.8,2019
AR,Clay County,5021,76.3,2019
AR,Cleburne County,5023,50.6,2019
AR,Cleveland County,5025,2.5,2019
AR,Columbia County,5027,52.2,2019
AR,Conway County,5029,38,2019
AR,Craighead County,5031,167.8,2019
AR,Crawford County,5033,55.1,2019
AR,Crittenden County,5035,69,2019
AR,Cross County,5037,60.3,2019
AR,Dallas County,5039,40.2,2019
AR,Desha County,5041,94.1,2019
AR,Drew County,5043,93.5,2019
AR,Faulkner County,5045,63.2,2019
AR,Franklin County,5047,42.7,2019
AR,Fulton County,5049,63,2019
AR,Garland County,5051,119.7,2019
AR,Grant County,5053,13.7,2019
AR,Greene County,5055,100.2,2019
AR,Hempstead County,5057,39.8,2019
AR,Hot Spring County,5059,40.2,2019
AR,Howard County,5061,69.6,2019
AR,Independence County,5063,140.3,2019
AR,Izard County,5065,80.7,2019
AR,Jackson County,5067,46.4,2019
AR,Jefferson County,5069,106.1,2019
AR,Johnson County,5071,62.9,2019
AR,Lafayette County,5073,92,2019
AR,Lawrence County,5075,42.6,2019
AR,Lee County,5077,69.5,2019
AR,Lincoln County,5079,13.3,2019
AR,Little River County,5081,87.6,2019
AR,Logan County,5083,21.1,2019
AR,Lonoke County,5085,18.8,2019
AR,Madison County,5087,34.9,2019
AR,Marion County,5089,10,2019
AR,Miller County,5091,79.6,2019
AR,Mississippi County,5093,60.4,2019
AR,Monroe County,5095,11.6,2019
AR,Montgomery County,5097,80.9,2019
AR,Nevada County,5099,20.9,2019
AR,Newton County,5101,2.2,2019
AR,Ouachita County,5103,69.3,2019
AR,Perry County,5105,13,2019
AR,Phillips County,5107,92,2019
AR,Pike County,5109,37.7,2019
AR,Poinsett County,5111,81.1,2019
AR,Polk County,5113,54.2,2019
AR,Pope County,5115,46.5,2019
AR,Prairie County,5117,19.4,2019
AR,Pulaski County,5119,149.5,2019
AR,Randolph County,5121,31.3,2019
AR,St. Francis County,5123,44.9,2019
AR,Saline County,5125,43.6,2019
AR,Scott County,5127,57.3,2019
AR,Searcy County,5129,29.3,2019
AR,Sebastian County,5131,131.4,2019
AR,Sevier County,5133,17.7,2019
AR,Sharp County,5135,48.4,2019
AR,Stone County,5137,94.5,2019
AR,Union County,5139,121.2,2019
AR,Van Buren County,5141,43.9,2019
AR,Washington County,5143,82.9,2019
AR,White County,5145,55.9,2019
AR,Woodruff County,5147,27.3,2019
AR,Yell County,5149,35.6,2019
CA,Alameda County,6001,20.4,2019
CA,Alpine County,6003,24.1,2019
CA,Amador County,6005,29.4,2019
CA,Butte County,6007,70,2019
CA,Calaveras County,6009,27.7,2019
CA,Colusa County,6011,27.3,2019
CA,Contra Costa County,6013,25.8,2019
CA,Del Norte County,6015,56.2,2019
CA,El Dorado County,6017,30,2019
CA,Fresno County,6019,46.2,2019
CA,Glenn County,6021,36.4,2019
CA,Humboldt County,6023,55.6,2019
CA,Imperial County,6025,27.6,2019
CA,Inyo County,6027,26.2,2019
CA,Kern County,6029,37.4,2019
CA,Kings County,6031,36.2,2019
CA,Lake County,6033,34.6,2019
CA,Lassen County,6035,46.5,2019
CA,Los Angeles County,6037,26.8,2019
CA,Madera County,6039,19.4,2019
CA,Marin County,6041,22.5,2019
CA,Mariposa County,6043,17.3,2019
CA,Mendocino County,6045,59.3,2019
CA,Merced County,6047,36.5,2019
CA,Modoc County,6049,31.2,2019
CA,Mono County,6051,30.8,2019
CA,Monterey County,6053,28.6,2019
CA,Napa County,6055,27.2,2019
CA,Nevada County,6057,42.1,2019
CA,Orange County,6059,31.8,2019
CA,Placer County,6061,48.8,2019
CA,Plumas County,6063,46.8,2019
CA,Riverside County,6065,29.6,2019
CA,Sacramento County,6067,37,2019
CA,San Benito County,6069,15.9,2019
CA,San Bernardino County,6071,37.5,2019
CA,San Diego County,6073,27.8,2019
CA,San Francisco County,6075,34.5,2019
CA,San Joaquin County,6077,27.4,2019
CA,San Luis Obispo County,6079,45.3,2019
CA,San Mateo County,6081,19.8,2019
CA,Santa Barbara County,6083,43,2019
CA,Santa Clara County,6085,20,2019
CA,Santa Cruz County,6087,29,2019
CA,Shasta County,6089,70.6,2019
CA,Sierra County,6091,5.5,2019
CA,Siskiyou County,6093,61.1,2019
CA,Solano County,6095,22.9,2019
CA,Sonoma County,6097,33.3,2019
CA,Stanislaus County,6099,59.6,2019
CA,Sutter County,6101,75.5,2019
CA,Tehama County,6103,42.6,2019
CA,Trinity County,6105,36,2019
CA,Tulare County,6107,39.3,2019
CA,Tuolumne County,6109,65.8,2019
CA,Ventura County,6111,32.9,2019
CA,Yolo County,6113,24.7,2019
CA,Yuba County,6115,32.1,2019
CO,Adams County,8001,32,2019
CO,Alamosa County,8003,42.5,2019
CO,Arapahoe County,8005,44,2019
CO,Archuleta County,8007,38.1,2019
CO,Baca County,8009,48.3,2019
CO,Bent County,8011,48.8,2019
CO,Boulder County,8013,44,2019
CO,Broomfield County,8014,42.6,2019
CO,Chaffee County,8015,40.5,2019
CO,Cheyenne County,8017,16.8,2019
CO,Clear Creek County,8019,2.7,2019
CO,Conejos County,8021,30.7,2019
CO,Costilla County,8023,1.2,2019
CO,Crowley County,8025,4.8,2019
CO,Custer County,8027,3.5,2019
CO,Delta County,8029,37.5,2019
CO,Denver County,8031,40.1,2019
CO,Dolores County,8033,74.7,2019
CO,Douglas County,8035,26.7,2019
CO,Eagle County,8037,49.8,2019
CO,Elbert County,8039,10.5,2019
CO,El Paso County,8041,48.6,2019
CO,Fremont County,8043,36.3,2019
CO,Garfield County,8045,32.9,2019
CO,Gilpin County,8047,0.5,2019
CO,Grand County,8049,12.7,2019
CO,Gunnison County,8051,24.4,2019
CO,Hinsdale County,8053,14.9,2019
CO,Huerfano County,8055,44.9,2019
CO,Jackson County,8057,18.4,2019
CO,Jefferson County,8059,39.9,2019
CO,Kiowa County,8061,18,2019
CO,Kit Carson County,8063,36.8,2019
CO,Lake County,8065,13,2019
CO,La Plata County,8067,53.7,2019
CO,Larimer County,8069,40.8,2019
CO,Las Animas County,8071,70.3,2019
CO,Lincoln County,8073,18.6,2019
CO,Logan County,8075,31.8,2019
CO,Mesa County,8077,57.2,2019
CO,Mineral County,8079,0.1,2019
CO,Moffat County,8081,38.4,2019
CO,Montezuma County,8083,37.2,2019
CO,Montrose County,8085,41.9,2019
CO,Morgan County,8087,24.9,2019
CO,Otero County,8089,45.6,2019
CO,Ouray County,8091,17,2019
CO,Park County,8093,0.5,2019
CO,Phillips County,8095,31.2,2019
CO,Pitkin County,8097,33.2,2019
CO,Prowers County,8099,24.2,2019
CO,Pueblo County,8101,74.1,2019
CO,Rio Blanco County,8103,31.9,2019
CO,Rio Grande County,8105,63.6,2019
CO,Routt County,8107,38.8,2019
CO,Saguache County,8109,0,2019
CO,San Miguel County,8113,19.5,2019
CO,Sedgwick County,8115,24.1,2019
CO,Summit County,8117,32,2019
CO,Teller County,8119,23.3,2019
CO,Washington County,8121,4.3,2019
CO,Weld County,8123,22.9,2019
CO,Yuma County,8125,39.6,2019
CT,Fairfield County,9001,37.4,2019
CT,Hartford County,9003,43.6,2019
CT,Litchfield County,9005,24.2,2019
CT,Middlesex County,9007,32.2,2019
