County,County Code,Deaths,Population,Crude Rate
"Kingman County, KS",20095,Suppressed,7310,Suppressed
"Kiowa County, KS",20097,Suppressed,2516,Suppressed
"Labette County, KS",20099,Suppressed,19964,Suppressed
"Lane County, KS",20101,Suppressed,1560,Suppressed
"Leavenworth County, KS",20103,Suppressed,81352,Suppressed
"Lincoln County, KS",20105,Suppressed,3023,Suppressed
"Linn County, KS",20107,Suppressed,9750,Suppressed
"Logan County, KS",20109,Suppressed,2844,Suppressed
"Lyon County, KS",20111,Suppressed,33406,Suppressed
"McPherson County, KS",20113,Suppressed,28537,Suppressed
"Marion County, KS",20115,Suppressed,11950,Suppressed
"Marshall County, KS",20117,Suppressed,9722,Suppressed
"Meade County, KS",20119,Suppressed,4146,Suppressed
"Miami County, KS",20121,Suppressed,33680,Suppressed
"Mitchell County, KS",20123,Suppressed,6150,Suppressed
"Montgomery County, KS",20125,Suppressed,32120,Suppressed
"Morris County, KS",20127,Suppressed,5521,Suppressed
"Morton County, KS",20129,Suppressed,2667,Suppressed
"Nemaha County, KS",20131,Suppressed,10155,Suppressed
"Neosho County, KS",20133,Suppressed,15951,Suppressed
"Ness County, KS",20135,Suppressed,2840,Suppressed
