Education_2017-2020_final_version,,,,,,,,
Year,Federal Information Processing Standard (FIPS) Code,State,Area name,Number of adults with less than HS diploma,Number of adults with HS diploma only,Number of adults completing some college or associate's degree,Number of adults with a bachelor's degree or higher,
2017,2158,AK,Kusilvak Census Area,1686.47,4596.45,1736.07,239.74,
2017,2160,AK,Kuskokwim Division,#N/A,#N/A,#N/A,#N/A,
2017,2164,AK,Lake and Peninsula Borough,173.34,659.34,426.06,359.64,
2017,2170,AK,Matanuska-Susitna Borough,6711.52,35155.56,39416.84,25248.08,
2017,2180,AK,Nome Census Area,1230.20,4325.56,2549.70,1825.46,
2017,2185,AK,North Slope Borough,1203.19,4049.75,2993.29,1525.99,
2017,2188,AK,Northwest Arctic Borough,1206.39,3619.16,1751.95,1106.50,
2017,2195,AK,Petersburg Census Area,#N/A,#N/A,#N/A,#N/A,
2017,2198,AK,Prince of Wales-Hyder Census Area,489.67,2454.78,2261.49,1237.06,
2017,2201,AK,Prince of Wales-Outer Ketchikan Census Area,#N/A,#N/A,#N/A,#N/A,
2017,2220,AK,Sitka City and Borough,#N/A,#N/A,#N/A,#N/A,
2017,2230,AK,Skagway Municipality,109.92,387.60,369.08,289.25,
2017,2231,AK,Skagway-Yakutat-Angoon Census Area,#N/A,#N/A,#N/A,#N/A,
2017,2232,AK,Skagway-Hoonah-Angoon Census Area,#N/A,#N/A,#N/A,#N/A,
2017,2240,AK,Southeast Fairbanks Census Area,509.71,2624.33,2417.69,1329.38,
2017,2261,AK,Valdez-Cordova Census Area,#N/A,#N/A,#N/A,#N/A,
2017,2275,AK,Wrangell City and Borough,383.19,932.77,821.85,383.19,
2017,2280,AK,Wrangell-Petersburg Census Area,#N/A,#N/A,#N/A,#N/A,
2017,2282,AK,Yakutat City and Borough,#N/A,#N/A,#N/A,#N/A,
2017,2290,AK,Yukon-Koyukuk Census Area,692.09,2269.40,1711.44,692.09,
2017,4001,AZ,Apache County,12745.87,22197.86,27425.10,9165.57,
2017,4003,AZ,Cochise County,14097.43,30440.46,48031.06,32187.05,
2017,4005,AZ,Coconino County,12669.84,29985.29,43499.78,54480.31,
2017,4007,AZ,Gila County,7008.63,15247.79,21239.90,10058.19,
2017,4009,AZ,Graham County,6219.36,11089.94,14649.21,5507.50,
2017,4011,AZ,Greenlee County,1162.97,3082.33,3696.91,1512.80,
2017,4012,AZ,La Paz County,3296.16,7004.34,7869.58,2430.92,
2017,4013,AZ,Maricopa County,482387.70,947547.26,1399785.73,1481619.35,
2017,4015,AZ,Mohave County,26107.20,71069.60,79772.00,30251.20,
2017,4017,AZ,Navajo County,16888.18,32142.02,41839.10,18195.65,
2017,4019,AZ,Pima County,108413.51,218872.57,343650.38,351832.54,
2017,4021,AZ,Pinal County,53349.39,130792.05,155745.79,89919.53,
2017,4023,AZ,Santa Cruz County,10305.28,12061.33,13216.63,10628.76,
2017,4025,AZ,Yavapai County,19166.11,57498.34,88072.85,63430.70,
2017,4027,AZ,Yuma County,52091.03,55204.04,67656.08,32582.84,
2017,5001,AR,Arkansas County,2389.61,7528.17,5066.69,2982.52,
2017,5003,AR,Ashley County,3001.88,10324.05,4523.11,2433.96,
2017,5005,AR,Baxter County,4673.12,14350.19,14598.32,7692.03,
2017,5007,AR,Benton County,27428.90,78292.20,68705.40,92139.80,
2017,5009,AR,Boone County,4074.53,12634.78,14017.88,6653.82,
2017,5011,AR,Bradley County,1727.38,4660.66,3117.97,1358.00,
2017,5013,AR,Calhoun County,18127.02,49677.22,32812.21,13996.82,
2017,5015,AR,Carroll County,4135.71,9836.29,7824.32,6147.68,
2017,5017,AR,Chicot County,2297.38,4073.59,2690.91,1574.13,
2017,5019,AR,Clark County,2117.84,7133.76,6821.66,6219.75,
2017,5021,AR,Clay County,2098.62,5721.08,3675.93,1871.38,
2017,5023,AR,Cleburne County,1758.20,6317.60,4306.10,2533.00,
2017,5025,AR,Cleveland County,762.79,3830.33,2239.15,1369.73,
2017,5027,AR,Columbia County,3071.51,9403.55,6402.92,4772.65,
2017,5029,AR,Conway County,2489.00,8575.56,5961.06,3911.29,
2017,5031,AR,Craighead County,11032.85,35133.72,29885.09,30956.24,
2017,5033,AR,Crawford County,9512.40,21481.64,19969.73,12032.24,
2017,5035,AR,Crittenden County,7556.25,17257.50,15405.00,8531.25,
2017,5037,AR,Cross County,3069.07,7048.73,4384.38,2377.68,
2017,5039,AR,Dallas County,4823.45,17725.18,12156.65,4509.73,
2017,5041,AR,Desha County,2246.92,5199.69,2705.72,1611.67,
2017,5043,AR,Drew County,2411.11,6788.20,4933.50,4395.64,
2017,5045,AR,Faulkner County,8532.13,37219.85,37219.85,40682.17,
2017,5047,AR,Franklin County,4251.83,13101.92,10802.79,3338.47,
2017,5049,AR,Fulton County,1699.76,4484.46,4496.52,1374.27,
2017,5051,AR,Garland County,9471.17,31373.24,34332.98,23480.60,
2017,5053,AR,Grant County,1525.86,7738.29,5631.15,3269.70,
2017,5055,AR,Greene County,941.29,3690.19,2332.40,1357.79,
2017,5057,AR,Hempstead County,3541.48,8394.62,6427.13,3497.76,
2017,5059,AR,Hot Spring County,3827.44,13127.43,11079.42,5506.14,
2017,5061,AR,Howard County,1603.88,5633.80,4312.96,1927.35,
2017,5063,AR,Independence County,5325.57,13876.48,12113.79,6188.16,
2017,5065,AR,Izard County,2449.79,4543.75,4352.15,2326.62,
2017,5067,AR,Jackson County,8564.99,22372.78,14378.79,6592.44,
2017,5069,AR,Jefferson County,76466.85,272907.56,181279.18,128543.42,
2017,5071,AR,Johnson County,5283.85,10859.77,6160.06,4248.32,
2017,5073,AR,Lafayette County,1296.92,3149.66,1681.19,734.23,
2017,5075,AR,Lawrence County,5023.45,12856.06,10245.19,4924.30,
2017,5077,AR,Lee County,29573.53,73691.42,42663.46,15837.19,
2017,5079,AR,Lincoln County,2565.45,6577.37,3315.98,1187.20,
2017,5081,AR,Little River County,1248.26,5388.52,3880.73,1841.49,
2017,5083,AR,Logan County,2671.81,9644.57,6668.65,2736.97,
2017,5085,AR,Lonoke County,7362.70,27555.44,23254.46,14798.29,
2017,5087,AR,Madison County,54517.95,180161.95,77624.89,48741.21,
2017,5089,AR,Marion County,4116.95,10918.88,10292.39,4504.78,
2017,5091,AR,Miller County,5761.90,15922.21,14822.61,7433.30,
2017,5093,AR,Mississippi County,7335.67,17411.67,11425.09,5986.58,
2017,5095,AR,Monroe County,4521.32,8808.05,5118.48,2879.15,
2017,5097,AR,Montgomery County,36263.36,74566.53,80912.62,34676.84,
2017,5099,AR,Nevada County,749.43,4271.75,2373.20,924.30,
2017,5101,AR,Newton County,1158.54,2966.81,2418.85,1283.79,
2017,5103,AR,Ouachita County,2959.63,9666.54,8043.52,3174.44,
2017,5105,AR,Perry County,812.49,4053.13,2839.06,1634.33,
2017,5107,AR,Phillips County,3398.68,5905.90,6611.63,2655.80,
2017,5109,AR,Pike County,4025.31,12707.99,10046.63,6487.07,
2017,5111,AR,Poinsett County,4468.49,10820.99,6086.81,2777.71,
2017,5113,AR,Polk County,2313.57,7664.96,7021.18,3118.29,
2017,5115,AR,Pope County,10085.93,21576.23,17363.12,14809.72,
2017,5117,AR,Prairie County,1088.74,3497.15,2408.42,1261.94,
2017,5119,AR,Pulaski County,33486.26,101246.69,116217.02,143006.03,
2017,5121,AR,Randolph County,3264.48,8682.61,7073.04,3649.87,
2017,5123,AR,St. Francis County,4589.61,10190.49,8193.88,2956.02,
2017,5125,AR,Saline County,9784.49,36632.16,39615.24,33291.12,
2017,5127,AR,Scott County,2089.00,4261.56,2945.49,1138.51,
2017,5129,AR,Searcy County,1571.72,3143.45,2008.31,1214.51,
2017,5131,AR,Sebastian County,19728.48,37919.67,39713.17,30745.68,
2017,5133,AR,Sevier County,4535.48,5904.68,4689.51,1985.34,
2017,5135,AR,Sharp County,3095.95,6783.27,5583.15,1930.62,
2017,5137,AR,Stone County,1930.70,4325.27,4488.25,1805.33,
2017,5139,AR,Union County,5404.51,14990.62,11834.70,7258.62,
2017,5141,AR,Van Buren County,2459.39,6833.48,4522.64,2690.48,
2017,5143,AR,Washington County,2231.69,4562.56,4165.81,5570.95,
2017,5145,AR,White County,11220.27,31922.46,19833.02,16040.25,
2017,5147,AR,Woodruff County,1156.50,2832.10,1524.47,1057.93,
2017,5149,AR,Yell County,4842.68,8114.17,5531.41,3013.22,
2017,6001,CA,Alameda County,182950.90,277752.73,377544.13,824942.24,
2017,6003,CA,Alpine County,70.56,287.84,321.44,440.16,
2017,6005,CA,Amador County,3360.46,11858.18,15875.29,7532.07,
2017,6007,CA,Butte County,22241.52,51132.56,87819.60,68329.61,
2017,6009,CA,Calaveras County,4201.64,14112.03,18268.00,9088.33,
2017,6011,CA,Colusa County,5821.94,6650.53,6149.01,3205.34,
2017,6013,CA,Contra Costa County,118186.22,200801.83,323577.80,506020.60,
2017,6015,CA,Del Norte County,5329.18,8515.70,9202.45,4422.67,
2017,6017,CA,El Dorado County,10016.31,39309.30,70114.18,69547.22,
2017,6019,CA,Fresno County,218625.36,224560.89,322497.13,223571.63,
2017,6021,CA,Glenn County,6602.09,8512.48,8793.42,4186.01,
2017,6023,CA,Humboldt County,12307.86,31590.17,50188.72,42667.25,
2017,6025,CA,Imperial County,54117.68,46804.48,54300.51,27790.16,
2017,6027,CA,Inyo County,1424.05,5497.93,6182.92,4921.10,
2017,6029,CA,Kern County,215241.68,246500.84,275080.65,157188.94,
2017,6031,CA,Kings County,39626.66,39176.36,49833.53,21464.44,
2017,6033,CA,Lake County,8608.96,19209.55,25184.43,11243.05,
2017,6035,CA,Lassen County,6232.60,10096.81,11156.35,3677.23,
2017,6037,CA,Los Angeles County,2032701.40,2073355.43,2601857.79,3455592.38,
2017,6039,CA,Madera County,44242.98,36555.37,50518.58,25729.96,
2017,6041,CA,Marin County,17223.03,26617.41,60280.61,156833.96,
2017,6043,CA,Mariposa County,1598.78,3935.46,6957.32,5077.44,
2017,6045,CA,Mendocino County,11794.41,23148.73,31510.44,21564.41,
2017,6047,CA,Merced County,80711.21,72258.35,81256.55,38446.89,
2017,6049,CA,Modoc County,1284.56,2879.18,2941.19,1745.22,
2017,6051,CA,Mono County,1813.50,3173.63,5001.30,4179.56,
2017,6053,CA,Monterey County,118234.89,88895.12,114731.63,116045.36,
2017,6055,CA,Napa County,20864.00,25375.14,42714.82,52160.01,
2017,6057,CA,Nevada County,408.02,1582.13,3114.30,3222.55,
2017,6059,CA,Orange County,427513.60,548748.80,870979.20,1343158.40,
2017,6061,CA,Placer County,20080.63,67965.22,137475.10,160645.06,
2017,6063,CA,Plumas County,1012.07,5116.57,8283.96,4310.66,
2017,6065,CA,Riverside County,411955.22,651858.55,787561.45,569467.51,
2017,6067,CA,Sacramento County,182143.19,336735.30,521939.72,489796.80,
2017,6069,CA,San Benito County,10071.77,16163.08,21651.29,12363.55,
2017,6071,CA,San Bernardino County,407749.36,580341.68,696841.49,472471.48,
2017,6073,CA,San Diego County,390509.15,607458.67,997967.82,1345087.06,
2017,6075,CA,San Francisco County,99048.66,100817.38,158300.98,526195.99,
2017,6077,CA,San Joaquin County,146848.53,214682.11,239281.10,145357.68,
2017,6079,CA,San Luis Obispo County,22955.81,55547.38,100892.18,104009.64,
2017,6081,CA,San Mateo County,70969.72,114940.09,181281.35,404990.25,
2017,6083,CA,Santa Barbara County,81115.15,77529.95,132204.25,157300.65,
2017,6085,CA,Santa Clara County,209320.52,265526.96,408950.28,1054355.23,
2017,6087,CA,Santa Cruz County,5406.80,7347.71,14094.66,19362.83,
2017,6089,CA,Shasta County,16012.97,46419.62,76826.27,40662.15,
2017,6091,CA,Sierra County,167.94,884.71,1274.58,668.78,
2017,6093,CA,Siskiyou County,4429.15,11884.16,18111.29,9428.40,
2017,6095,CA,Solano County,49445.84,106019.00,165710.38,123837.32,
2017,6097,CA,Sonoma County,54455.44,92271.71,169921.13,187064.51,
2017,6099,CA,Stanislaus County,109579.80,164369.70,175875.58,98073.92,
2017,6101,CA,Sutter County,19716.19,23678.76,33923.45,19329.60,
2017,6103,CA,Tehama County,9077.49,18538.54,25442.55,10867.42,
2017,6105,CA,Trinity County,775.25,4880.26,4689.62,2363.87,
2017,6107,CA,Tulare County,127271.08,123090.65,143528.34,70602.94,
2017,6109,CA,Tuolumne County,4285.59,13670.50,22946.90,13345.01,
2017,6111,CA,Ventura County,123008.11,169136.15,271642.91,290435.82,
2017,6113,CA,Yolo County,27170.38,38783.53,58723.09,94439.00,
2017,6115,CA,Yuba County,14481.83,17871.19,30966.46,13634.49,
2017,8001,CO,Adams County,75978.22,142396.26,151453.27,132836.09,
2017,8003,CO,Alamosa County,2168.18,4700.48,5445.28,4237.06,
2017,8005,CO,Arapahoe County,50801.11,126681.24,179411.51,286158.14,
2017,8007,CO,Archuleta County,798.90,2915.99,4300.75,5312.69,
2017,8009,CO,Baca County,516.49,1029.42,1171.90,847.76,
2017,8011,CO,Bent County,766.00,2885.87,1442.93,843.20,
2017,8013,CO,Boulder County,14513.13,35799.05,69340.51,202861.31,
2017,8014,CO,Broomfield County,2323.59,8884.33,17631.98,39501.10,
2017,8015,CO,Chaffee County,1099.73,5066.60,5753.93,7737.37,
2017,8017,CO,Cheyenne County,129.15,553.50,754.61,409.59,
2017,8019,CO,Clear Creek County,258.50,1914.80,2278.61,5131.66,
2017,8021,CO,Conejos County,859.32,2684.35,2635.25,2005.08,
2017,8023,CO,Costilla County,494.66,1106.37,1253.63,921.34,
2017,8025,CO,Crowley County,639.10,2986.34,1644.23,534.52,
2017,8027,CO,Custer County,82.86,877.32,2032.46,1886.24,
2017,8029,CO,Delta County,3179.07,11157.32,9231.54,7000.07,
2017,8031,CO,Denver County,70462.10,112739.36,151493.52,369926.03,
2017,8033,CO,Dolores County,74.41,876.41,570.49,547.76,
2017,8035,CO,Douglas County,7041.28,40906.48,88854.24,198497.01,
2017,8037,CO,Eagle County,4546.08,8544.43,13802.54,27878.95,
2017,8039,CO,Elbert County,948.75,6000.23,9641.39,9051.63,
2017,8041,CO,El Paso County,39156.99,137049.47,246828.90,276196.64,
2017,8043,CO,Fremont County,4898.58,19261.40,14553.05,8845.97,
2017,8045,CO,Garfield County,6148.27,15193.33,18267.46,19449.82,
2017,8047,CO,Gilpin County,378.82,853.85,1845.99,2934.34,
2017,8049,CO,Grand County,857.98,4642.26,4060.07,5776.02,
2017,8051,CO,Gunnison County,338.78,2828.81,4150.06,9604.41,
2017,8053,CO,Hinsdale County,28.58,127.83,265.99,371.59,
2017,8055,CO,Huerfano County,526.30,1738.78,2711.43,1685.49,
2017,8057,CO,Jackson County,7215.35,12146.71,18375.79,14119.25,
2017,8059,CO,Jefferson County,32300.65,129202.61,181938.37,315755.36,
2017,8061,CO,Kiowa County,39.90,372.90,683.87,279.33,
2017,8063,CO,Kit Carson County,773.06,2082.98,2999.20,1302.76,
2017,8065,CO,Lake County,7516.78,15419.04,18181.62,23128.56,
2017,8067,CO,La Plata County,1890.03,11340.16,16231.99,26126.83,
2017,8069,CO,Larimer County,12727.11,59851.82,101472.92,169924.14,
2017,8071,CO,Las Animas County,1680.08,3787.31,6108.10,2662.51,
